12345678901|#F+994.87;16/09/2024|00:57:04
12345678901|#R+429.73;16/09/2024|04:20:04
12345678901|#B+134.81;15/09/2024|20:59:04
12345678901|#E-127.31;15/09/2024|23:14:04
12345678901|#R-144.02;16/09/2024|13:57:04
12345678901|#F+846.83;16/09/2024|01:02:04
12345678901|#R-621.18;15/09/2024|21:26:04
12345678901|#R-742.26;16/09/2024|08:01:04
12345678901|#R-889.10;16/09/2024|13:07:04
12345678901|#B+418.06;16/09/2024|14:40:04
12345678901|#E-510.70;16/09/2024|10:10:04
12345678901|#E-459.40;16/09/2024|16:20:04
12345678901|#E+633.06;16/09/2024|09:46:04
12345678901|#F-580.67;16/09/2024|11:06:04
12345678901|#F+738.91;16/09/2024|03:59:04
12345678901|#R-770.67;16/09/2024|00:38:04
12345678901|#E-436.52;15/09/2024|18:26:04
12345678901|#E-401.88;16/09/2024|03:03:04
12345678901|#B+771.02;16/09/2024|04:29:04
12345678901|#E+462.95;16/09/2024|13:28:04
12345678901|#E-639.35;16/09/2024|02:39:04
12345678901|#R+61.61;15/09/2024|22:14:04
12345678901|#E-299.34;16/09/2024|09:34:04
12345678901|#F+911.64;16/09/2024|17:13:04
12345678901|#B-168.60;16/09/2024|04:53:04
12345678901|#E-3.42;15/09/2024|21:05:04
12345678901|#B+552.42;16/09/2024|17:57:04
12345678901|#F+492.95;16/09/2024|03:03:04
23456789012|#E+798.74;16/09/2024|00:07:04
23456789012|#F+133.02;16/09/2024|17:00:04
23456789012|#F-802.17;15/09/2024|20:59:04
23456789012|#F-282.45;15/09/2024|22:34:04
23456789012|#B-540.04;16/09/2024|16:06:04
23456789012|#R-741.03;16/09/2024|12:28:04
23456789012|#E-82.45;15/09/2024|19:52:04
23456789012|#B-625.94;16/09/2024|06:32:04
23456789012|#E-572.97;16/09/2024|16:00:04
23456789012|#E+247.60;16/09/2024|09:17:04
23456789012|#E+634.45;16/09/2024|02:42:04
23456789012|#B+489.26;16/09/2024|05:41:04
23456789012|#B-992.83;15/09/2024|22:48:04
23456789012|#R-647.94;16/09/2024|04:18:04
23456789012|#E+829.13;15/09/2024|19:08:04
23456789012|#R-880.95;15/09/2024|21:47:04
23456789012|#R+364.58;16/09/2024|00:01:04
23456789012|#R-588.42;16/09/2024|03:08:04
23456789012|#B+206.06;16/09/2024|08:45:04
23456789012|#F+549.45;16/09/2024|06:22:04
23456789012|#E-122.92;16/09/2024|10:42:04
23456789012|#B+140.63;16/09/2024|03:38:04
23456789012|#R+478.78;16/09/2024|02:28:04
23456789012|#F-508.48;16/09/2024|05:49:04
23456789012|#R+237.45;16/09/2024|05:47:04
23456789012|#B+540.71;16/09/2024|04:42:04
23456789012|#B-192.95;15/09/2024|20:47:04
23456789012|#E+424.47;16/09/2024|01:56:04
23456789012|#F+517.71;15/09/2024|23:16:04
23456789012|#B+703.72;16/09/2024|10:35:04
23456789012|#F-592.07;16/09/2024|04:41:04
23456789012|#B+10.87;16/09/2024|05:08:04
23456789012|#R+726.61;16/09/2024|09:59:04
23456789012|#R+33.28;16/09/2024|08:54:04
23456789012|#E+778.65;15/09/2024|20:13:04
23456789012|#B+440.81;16/09/2024|09:29:04
23456789012|#F+514.00;16/09/2024|15:05:04
23456789012|#F-432.72;16/09/2024|07:06:04
23456789012|#R+952.93;15/09/2024|20:44:04
23456789012|#F+623.84;16/09/2024|03:05:04
23456789012|#B+526.75;16/09/2024|17:38:04
23456789012|#R-840.15;16/09/2024|08:31:04
23456789012|#R-329.01;16/09/2024|11:18:04
23456789012|#E-651.24;16/09/2024|13:40:04
23456789012|#E+752.80;16/09/2024|09:13:04
23456789012|#R-919.50;15/09/2024|23:10:04
23456789012|#R+770.68;16/09/2024|13:36:04
23456789012|#B+226.15;16/09/2024|02:50:04
23456789012|#E+4.61;16/09/2024|02:21:04
23456789012|#B-959.40;15/09/2024|22:26:04
23456789012|#E+708.54;16/09/2024|04:25:04
23456789012|#R-895.73;16/09/2024|05:13:04
23456789012|#B-104.85;16/09/2024|05:03:04
23456789012|#R-763.84;15/09/2024|21:26:04
23456789012|#F-986.59;16/09/2024|02:08:04
23456789012|#F+562.25;15/09/2024|23:03:04
23456789012|#B-3.49;16/09/2024|16:25:04
23456789012|#F-639.59;16/09/2024|17:28:04
23456789012|#R+220.20;16/09/2024|12:44:04
23456789012|#R+484.89;16/09/2024|05:32:04
23456789012|#B-731.56;16/09/2024|05:24:04
23456789012|#F+495.89;15/09/2024|18:34:04
23456789012|#F-106.61;16/09/2024|13:37:04
23456789012|#F-755.62;16/09/2024|15:15:04
23456789012|#E+447.61;16/09/2024|00:24:04
23456789012|#E+22.19;15/09/2024|19:02:04
23456789012|#E-33.12;16/09/2024|09:12:04
23456789012|#B+745.54;16/09/2024|01:43:04
23456789012|#E+140.70;15/09/2024|23:39:04
23456789012|#E-554.58;16/09/2024|17:35:04
23456789012|#E+682.11;16/09/2024|03:34:04
23456789012|#F+297.20;16/09/2024|16:53:04
23456789012|#B+143.65;16/09/2024|16:49:04
23456789012|#E+493.31;16/09/2024|02:25:04
23456789012|#E-607.48;16/09/2024|17:40:04
23456789012|#B+421.22;16/09/2024|03:49:04
23456789012|#F+656.13;16/09/2024|10:25:04
23456789012|#R+771.46;16/09/2024|09:26:04
23456789012|#F-566.59;16/09/2024|03:51:04
23456789012|#B+261.75;16/09/2024|01:46:04
23456789012|#R+205.98;16/09/2024|07:31:04
23456789012|#B-672.75;16/09/2024|16:53:04
23456789012|#B-832.50;16/09/2024|06:10:04
23456789012|#E-241.45;16/09/2024|16:01:04
23456789012|#F+348.72;16/09/2024|14:36:04
23456789012|#B+739.15;16/09/2024|16:45:04
23456789012|#F+585.97;16/09/2024|17:46:04
23456789012|#F-652.80;15/09/2024|21:53:04
23456789012|#F+128.33;16/09/2024|16:05:04
23456789012|#F-638.14;15/09/2024|23:08:04
23456789012|#R-700.14;16/09/2024|18:00:04
23456789012|#R+889.66;16/09/2024|02:26:04
23456789012|#E-536.20;16/09/2024|03:44:04
23456789012|#F+673.83;16/09/2024|03:16:04
23456789012|#E-132.57;16/09/2024|06:05:04
23456789012|#R-39.29;16/09/2024|01:27:04
23456789012|#R+409.07;16/09/2024|14:17:04
23456789012|#R-772.49;16/09/2024|08:36:04
23456789012|#E-617.62;16/09/2024|03:20:04
23456789012|#R+178.75;16/09/2024|12:21:04
34567890123|#B-284.53;15/09/2024|21:55:04
34567890123|#F-193.61;15/09/2024|21:46:04
34567890123|#E-72.37;16/09/2024|07:29:04
34567890123|#E-305.98;16/09/2024|11:10:04
34567890123|#F+379.64;16/09/2024|06:29:04
34567890123|#R-65.00;16/09/2024|07:41:04
34567890123|#E+81.68;16/09/2024|08:58:04
34567890123|#B-969.28;15/09/2024|23:28:04
34567890123|#E+251.20;15/09/2024|21:20:04
34567890123|#R+115.86;15/09/2024|23:27:04
34567890123|#B+359.47;16/09/2024|07:28:04
34567890123|#B+176.44;16/09/2024|07:01:04
34567890123|#E+555.21;16/09/2024|06:43:04
34567890123|#B+705.38;16/09/2024|10:37:04
34567890123|#E+299.73;16/09/2024|05:39:04
34567890123|#R-30.38;16/09/2024|01:00:04
34567890123|#E-537.81;15/09/2024|20:56:04
34567890123|#F-234.94;16/09/2024|03:45:04
34567890123|#B-682.28;16/09/2024|01:46:04
34567890123|#R-548.96;16/09/2024|07:21:04
34567890123|#R-916.15;16/09/2024|10:04:04
34567890123|#B-773.63;16/09/2024|06:18:04
34567890123|#F+267.85;16/09/2024|10:42:04
34567890123|#R+708.23;16/09/2024|09:02:04
34567890123|#E-809.18;16/09/2024|11:22:04
34567890123|#B-921.78;16/09/2024|08:32:04
34567890123|#E+605.31;15/09/2024|22:16:04
34567890123|#E-839.61;15/09/2024|23:56:04
34567890123|#B+891.46;15/09/2024|22:35:04
34567890123|#E+156.95;16/09/2024|18:17:04
34567890123|#F-178.64;16/09/2024|04:49:04
34567890123|#R-817.08;16/09/2024|18:01:04
34567890123|#B+74.36;15/09/2024|18:45:04
34567890123|#F-132.93;16/09/2024|06:58:04
34567890123|#E+331.66;16/09/2024|14:18:04
34567890123|#R+543.19;16/09/2024|15:09:04
34567890123|#F-643.55;16/09/2024|06:23:04
34567890123|#F+851.41;16/09/2024|15:14:04
34567890123|#R+918.41;15/09/2024|19:06:04
34567890123|#F-336.45;15/09/2024|22:37:04
34567890123|#E+360.13;16/09/2024|01:04:04
34567890123|#E-113.03;16/09/2024|10:11:04
34567890123|#F-749.53;16/09/2024|18:12:04
34567890123|#R+205.03;16/09/2024|10:11:04
34567890123|#F+404.25;16/09/2024|05:53:04
34567890123|#E-300.34;16/09/2024|02:44:04
34567890123|#B+25.61;16/09/2024|08:27:04
34567890123|#B-341.77;16/09/2024|06:37:04
34567890123|#F-289.18;16/09/2024|09:40:04
34567890123|#E-677.31;16/09/2024|01:12:04
34567890123|#B+522.24;16/09/2024|17:39:04
34567890123|#B+814.70;16/09/2024|05:45:04
34567890123|#E+977.18;16/09/2024|01:29:04
34567890123|#B+428.85;16/09/2024|15:48:04
34567890123|#E-708.84;15/09/2024|22:29:04
34567890123|#E+449.41;16/09/2024|14:38:04
34567890123|#E+532.40;16/09/2024|05:05:04
34567890123|#E-840.86;16/09/2024|00:50:04
34567890123|#B+948.31;16/09/2024|01:42:04
34567890123|#R-935.11;16/09/2024|08:40:04
34567890123|#E-992.36;16/09/2024|06:07:04
34567890123|#E+406.12;16/09/2024|02:32:04
34567890123|#R-932.35;15/09/2024|23:28:04
34567890123|#B+113.25;16/09/2024|11:17:04
34567890123|#E+638.97;16/09/2024|02:34:04
34567890123|#B-731.27;16/09/2024|15:36:04
34567890123|#E+132.68;15/09/2024|23:06:04
34567890123|#E-905.87;16/09/2024|09:23:04
34567890123|#E-475.11;16/09/2024|15:07:04
34567890123|#R-736.45;16/09/2024|03:40:04
34567890123|#B+325.94;15/09/2024|19:47:04
34567890123|#R+708.87;16/09/2024|09:58:04
34567890123|#E+600.54;16/09/2024|15:33:04
34567890123|#E-86.40;16/09/2024|10:14:04
34567890123|#F+513.69;16/09/2024|10:23:04
34567890123|#F-986.56;16/09/2024|05:07:04
34567890123|#R-981.26;16/09/2024|04:58:04
34567890123|#R-272.45;16/09/2024|10:26:04
34567890123|#E+578.47;15/09/2024|19:35:04
34567890123|#B+392.87;16/09/2024|00:24:04
34567890123|#R+253.15;16/09/2024|10:28:04
34567890123|#E-593.04;16/09/2024|12:21:04
34567890123|#R+275.41;16/09/2024|17:21:04
34567890123|#B-773.73;16/09/2024|01:12:04
34567890123|#R-519.97;16/09/2024|08:06:04
34567890123|#F-367.08;16/09/2024|16:45:04
34567890123|#E+2.11;16/09/2024|09:02:04
34567890123|#B-157.91;16/09/2024|14:32:04
34567890123|#R-646.04;16/09/2024|04:08:04
34567890123|#E+980.46;15/09/2024|23:09:04
34567890123|#E-841.22;16/09/2024|08:48:04
34567890123|#E+694.71;16/09/2024|05:51:04
34567890123|#R+481.04;16/09/2024|14:54:04
34567890123|#F+738.45;16/09/2024|13:51:04
34567890123|#F+581.21;15/09/2024|20:12:04
34567890123|#R-677.52;15/09/2024|21:55:04
34567890123|#E+265.41;16/09/2024|12:58:04
34567890123|#F-899.54;16/09/2024|03:21:04
34567890123|#F+568.23;16/09/2024|04:48:04
34567890123|#F-53.58;15/09/2024|19:38:04
45678901234|#R-735.60;15/09/2024|21:36:04
45678901234|#R+482.49;16/09/2024|07:21:04
45678901234|#E+194.62;16/09/2024|13:10:04
45678901234|#F-304.65;16/09/2024|02:50:04
45678901234|#E+364.59;16/09/2024|18:01:04
45678901234|#E-717.90;16/09/2024|10:11:04
45678901234|#B-987.32;16/09/2024|17:58:04
45678901234|#B+884.71;16/09/2024|12:01:04
45678901234|#F+472.58;16/09/2024|12:17:04
45678901234|#F+792.59;16/09/2024|05:02:04
45678901234|#B-774.78;16/09/2024|13:35:04
45678901234|#E+641.56;16/09/2024|01:33:04
45678901234|#R+837.84;16/09/2024|02:46:04
45678901234|#B-669.80;15/09/2024|23:54:04
45678901234|#B+518.14;15/09/2024|18:51:04
45678901234|#B-141.14;16/09/2024|01:27:04
45678901234|#R+245.38;15/09/2024|19:28:04
45678901234|#F+10.62;16/09/2024|13:22:04
45678901234|#R+851.03;16/09/2024|05:55:04
45678901234|#B+276.76;16/09/2024|16:29:04
45678901234|#R-829.77;16/09/2024|07:30:04
45678901234|#B+565.42;16/09/2024|08:43:04
45678901234|#B-360.46;16/09/2024|10:37:04
45678901234|#R+942.91;16/09/2024|03:46:04
45678901234|#F-780.29;16/09/2024|10:41:04
45678901234|#F+493.08;16/09/2024|15:15:04
45678901234|#B+559.39;16/09/2024|06:16:04
45678901234|#F+998.86;16/09/2024|00:07:04
45678901234|#F+414.93;16/09/2024|16:20:04
45678901234|#F+472.14;15/09/2024|23:03:04
45678901234|#E+799.93;16/09/2024|13:51:04
45678901234|#E-671.22;15/09/2024|23:17:04
45678901234|#F+8.70;16/09/2024|10:33:04
45678901234|#E+931.00;16/09/2024|04:22:04
45678901234|#F+59.10;16/09/2024|08:12:04
45678901234|#B-807.35;16/09/2024|04:38:04
45678901234|#F-848.85;16/09/2024|15:37:04
45678901234|#F-352.79;15/09/2024|22:32:04
45678901234|#E-925.98;15/09/2024|22:35:04
45678901234|#E+853.75;16/09/2024|09:37:04
45678901234|#R-757.09;16/09/2024|00:53:04
45678901234|#B+753.61;16/09/2024|11:58:04
45678901234|#B-164.47;16/09/2024|01:46:04
45678901234|#E+575.08;16/09/2024|03:26:04
45678901234|#F-484.25;16/09/2024|06:08:04
45678901234|#R-904.67;16/09/2024|01:30:04
45678901234|#E-486.21;15/09/2024|23:51:04
45678901234|#E-163.95;16/09/2024|16:57:04
45678901234|#B-235.86;16/09/2024|15:53:04
45678901234|#F+556.45;16/09/2024|17:56:04
45678901234|#B+292.00;15/09/2024|19:54:04
45678901234|#F-126.07;16/09/2024|11:31:04
45678901234|#F+19.14;16/09/2024|01:52:04
45678901234|#R-985.43;15/09/2024|22:18:04
45678901234|#E-353.82;16/09/2024|14:55:04
45678901234|#E+641.42;16/09/2024|15:00:04
45678901234|#E+899.97;16/09/2024|17:20:04
45678901234|#B-756.53;16/09/2024|05:07:04
45678901234|#E-735.66;15/09/2024|23:59:04
45678901234|#B+237.93;16/09/2024|09:21:04
45678901234|#B-37.77;16/09/2024|17:57:04
45678901234|#E+823.07;16/09/2024|15:10:04
45678901234|#F-6.20;16/09/2024|01:41:04
45678901234|#R-231.90;15/09/2024|22:55:04
45678901234|#F+165.72;16/09/2024|10:43:04
45678901234|#R+84.55;16/09/2024|10:32:04
45678901234|#R-909.75;16/09/2024|07:17:04
45678901234|#F-472.18;16/09/2024|01:47:04
45678901234|#R-122.37;16/09/2024|17:26:04
45678901234|#F-835.10;15/09/2024|21:12:04
45678901234|#F-92.00;16/09/2024|02:27:04
45678901234|#F+804.65;16/09/2024|05:17:04
45678901234|#E+98.20;16/09/2024|02:59:04
45678901234|#F-600.05;16/09/2024|10:32:04
45678901234|#R+244.82;15/09/2024|18:56:04
45678901234|#R+101.94;16/09/2024|12:29:04
45678901234|#B+944.67;16/09/2024|02:34:04
45678901234|#R-390.31;16/09/2024|03:30:04
45678901234|#E-490.52;15/09/2024|19:00:04
45678901234|#B+265.70;16/09/2024|10:52:04
45678901234|#B+45.50;15/09/2024|21:46:04
45678901234|#F-742.70;16/09/2024|10:11:04
45678901234|#R-846.38;15/09/2024|19:00:04
45678901234|#B+603.58;16/09/2024|09:15:04
45678901234|#F-64.54;16/09/2024|03:24:04
45678901234|#R-832.35;16/09/2024|00:48:04
45678901234|#B-180.07;16/09/2024|11:34:04
45678901234|#R+739.76;16/09/2024|04:46:04
45678901234|#R+688.74;15/09/2024|18:53:04
45678901234|#E+589.89;16/09/2024|08:37:04
45678901234|#R-523.36;16/09/2024|00:45:04
45678901234|#F+262.25;16/09/2024|11:47:04
45678901234|#B+978.32;16/09/2024|10:30:04
45678901234|#B+614.22;16/09/2024|02:40:04
45678901234|#E-682.91;15/09/2024|23:54:04
45678901234|#R+84.44;15/09/2024|22:48:04
45678901234|#F+359.89;15/09/2024|23:26:04
45678901234|#B+822.01;16/09/2024|06:37:04
45678901234|#B+555.42;16/09/2024|03:32:04
45678901234|#E+916.81;16/09/2024|14:40:04
56789012345|#B-58.76;16/09/2024|13:52:04
56789012345|#B+63.25;16/09/2024|08:41:04
56789012345|#F-972.59;16/09/2024|06:58:04
56789012345|#F-853.08;16/09/2024|08:27:04
56789012345|#B-488.66;16/09/2024|14:58:04
56789012345|#B-879.39;16/09/2024|13:56:04
56789012345|#E-302.51;16/09/2024|11:35:04
56789012345|#R-957.64;16/09/2024|02:23:04
56789012345|#E-20.73;16/09/2024|14:20:04
56789012345|#F-514.95;16/09/2024|12:00:04
56789012345|#F+916.11;16/09/2024|02:22:04
56789012345|#R-618.14;16/09/2024|02:10:04
56789012345|#F-967.03;16/09/2024|04:05:04
56789012345|#R+407.15;15/09/2024|23:16:04
56789012345|#E-950.00;16/09/2024|04:12:04
56789012345|#E+235.10;16/09/2024|18:05:04
56789012345|#B-346.15;15/09/2024|18:50:04
56789012345|#E+695.89;15/09/2024|22:47:04
56789012345|#E-442.07;16/09/2024|17:49:04
56789012345|#R+687.69;16/09/2024|10:45:04
56789012345|#R-487.61;16/09/2024|13:49:04
56789012345|#E-286.74;16/09/2024|15:28:04
56789012345|#R+680.33;16/09/2024|04:02:04
56789012345|#B+709.17;16/09/2024|18:13:04
56789012345|#B+656.34;16/09/2024|07:58:04
56789012345|#F-845.58;16/09/2024|12:24:04
56789012345|#B+424.95;16/09/2024|01:14:04
56789012345|#B+787.23;16/09/2024|14:56:04
56789012345|#E+996.09;16/09/2024|13:08:04
56789012345|#B-551.32;16/09/2024|02:32:04
56789012345|#R+550.94;15/09/2024|19:26:04
56789012345|#R+74.55;16/09/2024|15:04:04
56789012345|#F-152.63;15/09/2024|19:41:04
56789012345|#F-781.79;16/09/2024|14:04:04
56789012345|#F+302.88;16/09/2024|16:06:04
56789012345|#E-947.90;16/09/2024|15:03:04
56789012345|#E+317.12;16/09/2024|15:00:04
56789012345|#F+366.91;16/09/2024|01:00:04
56789012345|#R+345.63;16/09/2024|15:26:04
56789012345|#B-130.44;16/09/2024|05:47:04
56789012345|#F-275.38;16/09/2024|12:31:04
56789012345|#E-271.68;16/09/2024|17:07:04
56789012345|#E-462.60;16/09/2024|10:13:04
56789012345|#R-508.17;15/09/2024|21:20:04
56789012345|#B+809.43;16/09/2024|07:33:04
56789012345|#E-975.29;16/09/2024|05:11:04
56789012345|#F-69.00;16/09/2024|14:15:04
56789012345|#F+64.71;16/09/2024|18:00:04
56789012345|#F-884.99;16/09/2024|01:59:04
56789012345|#F+504.84;16/09/2024|04:45:04
56789012345|#E+175.84;16/09/2024|05:48:04
56789012345|#F+931.00;16/09/2024|07:04:04
56789012345|#F+162.45;16/09/2024|04:44:04
56789012345|#R+413.14;16/09/2024|06:30:04
56789012345|#E-134.31;16/09/2024|04:18:04
56789012345|#E-765.67;16/09/2024|04:15:04
56789012345|#R+302.23;16/09/2024|01:28:04
56789012345|#R-933.16;16/09/2024|16:29:04
56789012345|#E+586.97;16/09/2024|10:11:04
56789012345|#E-704.34;16/09/2024|10:49:04
56789012345|#E-694.51;15/09/2024|21:58:04
56789012345|#F-461.86;16/09/2024|00:06:04
56789012345|#B-897.20;15/09/2024|22:08:04
56789012345|#B+620.05;16/09/2024|07:26:04
56789012345|#B+109.08;15/09/2024|18:29:04
56789012345|#R-249.66;16/09/2024|05:53:04
56789012345|#R-3.75;16/09/2024|07:04:04
56789012345|#F-143.40;16/09/2024|17:12:04
56789012345|#B-427.61;16/09/2024|12:01:04
56789012345|#F-59.67;16/09/2024|09:38:04
56789012345|#B+992.39;16/09/2024|00:41:04
56789012345|#B+477.58;16/09/2024|06:00:04
56789012345|#B-673.61;16/09/2024|03:52:04
56789012345|#B-721.61;15/09/2024|22:04:04
56789012345|#R-227.63;16/09/2024|08:15:04
56789012345|#R+34.09;16/09/2024|04:26:04
56789012345|#E+679.64;16/09/2024|12:12:04
56789012345|#F-511.93;15/09/2024|22:44:04
56789012345|#B+880.73;15/09/2024|18:22:04
56789012345|#F+955.48;16/09/2024|08:20:04
56789012345|#R+507.66;15/09/2024|21:26:04
56789012345|#R+736.12;16/09/2024|17:19:04
56789012345|#E-464.79;16/09/2024|01:42:04
56789012345|#R-310.26;16/09/2024|01:36:04
56789012345|#E+287.88;15/09/2024|20:19:04
56789012345|#R-607.21;16/09/2024|06:49:04
56789012345|#E+525.93;16/09/2024|18:19:04
56789012345|#R-924.12;16/09/2024|11:22:04
56789012345|#E-927.26;16/09/2024|11:42:04
56789012345|#E-629.67;15/09/2024|19:35:04
56789012345|#F+805.53;16/09/2024|11:02:04
56789012345|#B-442.77;16/09/2024|12:35:04
56789012345|#E-392.90;16/09/2024|14:23:04
56789012345|#R-546.36;15/09/2024|22:06:04
56789012345|#R+349.74;16/09/2024|12:24:04
56789012345|#E-835.14;16/09/2024|15:02:04
56789012345|#R+107.94;16/09/2024|07:20:04
56789012345|#R-684.35;16/09/2024|10:33:04
56789012345|#B-7.16;16/09/2024|04:47:04
56789012345|#R+247.79;15/09/2024|21:21:04
67890123456|#F-474.49;15/09/2024|21:07:04
67890123456|#E+563.32;16/09/2024|16:04:04
67890123456|#F-306.37;16/09/2024|01:08:04
67890123456|#R+270.07;16/09/2024|15:57:04
67890123456|#F-958.34;16/09/2024|01:35:04
67890123456|#E-755.13;16/09/2024|13:11:04
67890123456|#R+694.14;16/09/2024|08:44:04
67890123456|#F-571.28;16/09/2024|08:03:04
67890123456|#E-986.56;16/09/2024|01:17:04
67890123456|#R-192.33;15/09/2024|19:16:04
67890123456|#R-342.65;16/09/2024|16:07:04
67890123456|#F+611.71;15/09/2024|22:47:04
67890123456|#E-476.66;16/09/2024|00:29:04
67890123456|#R-774.99;15/09/2024|20:49:04
67890123456|#B+76.43;16/09/2024|02:44:04
67890123456|#R+604.54;16/09/2024|05:40:04
67890123456|#E-894.97;16/09/2024|04:48:04
67890123456|#B-679.11;16/09/2024|07:09:04
67890123456|#R+999.39;15/09/2024|20:36:04
67890123456|#B-94.55;16/09/2024|04:30:04
67890123456|#F-483.84;16/09/2024|01:12:04
67890123456|#R+792.54;15/09/2024|23:22:04
67890123456|#E+294.74;15/09/2024|23:39:04
67890123456|#E+680.30;16/09/2024|09:07:04
67890123456|#R+540.79;16/09/2024|02:30:04
67890123456|#B+794.67;15/09/2024|20:35:04
67890123456|#R-227.70;16/09/2024|15:06:04
67890123456|#E+734.92;16/09/2024|05:48:04
67890123456|#F-457.18;16/09/2024|16:27:04
67890123456|#B+239.18;16/09/2024|05:39:04
67890123456|#B-187.92;16/09/2024|09:46:04
67890123456|#R-514.44;15/09/2024|21:37:04
67890123456|#B+577.47;15/09/2024|18:35:04
67890123456|#F+149.83;16/09/2024|15:33:04
67890123456|#R-204.16;16/09/2024|11:35:04
67890123456|#E-814.69;16/09/2024|01:34:04
67890123456|#R+589.98;16/09/2024|12:26:04
67890123456|#E-703.07;16/09/2024|10:07:04
67890123456|#B+515.13;16/09/2024|03:00:04
67890123456|#R+444.80;16/09/2024|15:52:04
67890123456|#B+314.87;16/09/2024|13:50:04
67890123456|#E-272.58;15/09/2024|21:57:04
67890123456|#B-324.17;16/09/2024|05:59:04
67890123456|#R+511.15;16/09/2024|08:09:04
67890123456|#E+927.91;15/09/2024|20:02:04
67890123456|#E+318.81;16/09/2024|17:34:04
67890123456|#E-593.70;16/09/2024|01:58:04
67890123456|#F-15.57;16/09/2024|15:46:04
67890123456|#B-329.62;16/09/2024|09:57:04
67890123456|#B-797.50;15/09/2024|18:41:04
67890123456|#F+520.38;16/09/2024|04:54:04
67890123456|#R+97.93;15/09/2024|20:30:04
67890123456|#R+402.77;16/09/2024|10:33:04
67890123456|#R-368.92;16/09/2024|05:32:04
67890123456|#F-571.59;16/09/2024|11:53:04
67890123456|#R+616.09;15/09/2024|22:02:04
67890123456|#R-985.38;16/09/2024|16:52:04
67890123456|#E+328.22;16/09/2024|17:41:04
67890123456|#R+361.33;16/09/2024|01:06:04
